koryakov_bd_id,eng_vil_name,rus_vil_name,rus_vil_name_mdg,censuses.1885.people,censuses.1895.people,censuses.1926.people,censuses.2010.people,Lat,Lon,Language,Lect,Republic,Region,elevation
663,,ур.Кангалы,ур.Кангалы,309,299,335,,,,,,,,
665,Akhkent,Ахкент,Ахкент,301,330,394,1248,42.57353,47.18488,Avar,,Daghestan,,1545
667,Gelli,Гели,Гели,2312,2390,1527,2796,42.7267,47.4014,Kumyk,,Daghestan,,449.04
669,Adanak,Аданак,Аданак,,,19,1464,42.7522,47.4586,Kumyk,,Daghestan,,297.05
671,Buglen,Буглен,Буглен,1012,942,820,,42.7553,47.1989,Kumyk,,Daghestan,,521.5
673,,кутан Дардур,кутан Дардур,,,67,,,,,,,,
675,,Карти-Котан,Карти-Котан,,,15,,,,,,,,
677,Dorgeli,Доргели,Доргели,4291,4620,3162,5781,42.66556,47.29667,Kumyk,,Daghestan,,667.4
679,,Аданак-Котан,Аданак-Котан,,,14,,,,,,,,
681,,Кака,Кака,,,42,,,,,,,,
683,,Кака-Кас,Кака-Кас,,,21,,,,,,,,
685,,Какали-Баш,Какали-Баш,,,46,,,,,,,,
687,,Конабур-Котан,Конабур-Котан,,,105,,,,,,,,
689,,Кона-Котан,Кона-Котан,,,32,,,,,,,,
691,,Контук-Баш,Контук-Баш,,,8,,,,,,,,
693,,Мирза-Аул,Мирза-Аул,,,50,,,,,,,,
