yid	name	censuses.1885.people	censuses.1895.people	censuses.1926.people	censuses.2010.people
4023	Киче	173	162	188	439
2241	Кичи-Гамри	710	732	563	1696
4141	Кишдатль	77	86	49	23
2245	Кища	1803	1789	431	3030
1459	Кищамахи	191	207	146	148
1013	Киэних			63	25
8138	Кличхан				485
7202	Кокрек				4805
7141	Коктюбей				667
7067	Коллективизатор				362
191	Коло	217	191	214	538
207	Колоб	281	286	249	242
4237	Колоб	337	322	119	365
8051	Коммуна				736
8062	Коммуна				1095
7223	Комсомольский				2723
8103	Комсомольское				6986
3107	Кондик	572	582	741	1459
3135	Конциль	636	604	603	428
8131	Коркмаскала				7723
1039	Корода	1507	1456	1380	939
4007	Корш	52	55	34	65
4137	Кособ	72	75	55	245
981	Косрода	208	205	186	114
7204	Костек				4554
7060	Косякино				1444
7050	Кохановское				1071
8193	Кочали				670
7145	Кочубей				7272
3161	Кочхюр	1134	1127	865	
3139	Кошкент	539	518	469	645
7065	Крайновка				1210
8218	Красноармейское				3959
7031	Красное				89
8189	Красное				525
7085	Краснооктябрьское				1806
8147	Краснопартизанск				739
7076	Красный Восход				1683
7072	Красный Рыбак				28
117	Куаниб	287	292	320	454
3519	Куба	917	842	937	456
929	Кубатль			100	120
2249	Кубачи	2232	2241	1733	3055
3501	Кубра	182	170	158	198
1685	Кубримахи	43	38	38	18
2311	Куваг	98	98	103	99
3167	Кувиг	227	246	166	102
3145	Куг	579	611	696	862
2191	Кудагу	152	148	248	564
1043	Кудали	978	967	1123	914
417	Кудиябросо	708	700	367	2233
119	Кудутль	677	668	524	541
2131	Кужник	349	343	366	846
7149	Кузнецовское				486
7147	Куйбышево				37
3179	Куйсун			160	3194
3019	Кукваз	317	324	262	187
1073	Кукер			74	16
3521	Кукни	456	459	296	66
2157	Кулегу	116	102	107	155
851	Кулецма	1439	1525	1250	2175
1403	Кули	411	405	360	157
3523	Кули	2036	2036	2430	3946
1913	Кулибухна	356	353	373	407
3169	Кулиг	128	138	123	120
2251	Кулиджа	259	258	295	403
2313	Кулиф	128	133	165	624
1669	Кулиямахи	197	217	188	209
8097	Кулкам				266
943	Кулла	557	590	423	27
2053	Куллар	107	122	167	2314
3641	Кулушац	328	339	297	63
3837	Кульзеб			39	2023
8145	Кулькибекмахи				184
3541	Кума	740	730	447	479
1699	Кумамахи		145	200	397
7122	Кумли				875
8111	Кумук				1170
3525	Кумух	2900	2872	1746	1931
7123	Кунбатар				1902
3597	Кундах	154	162	91	32
1499	Кундурхе	192	204	198	376
3533	Кунды	1135	1050	771	813
101	Кунзах			126	362
3537	Кунки	674	674	647	780
1495	Куппа	735	818	870	1459
3149	Кураг	260	225	352	420
3157	Курах	1867	1751	1993	3236
4079	Курдул	313	323	205	268
7099	Курдюковское				226
1349	Куримахи	92	209	423	1146
1735	Куркаби	87	68	84	337
2433	Куркак	208	211	275	265
3159	Куркент	931	896	1136	4074
1429	Куркимахи	343	347	330	395
1815	Куркимахи	133	139	105	126
3539	Куркли	985	972	619	418
3509	Курла	351	358	262	78
8029	Курми				1509
3939	Курукал			65	880
3981	Куруш	4760	4039	3694	828
7169	Куруш				7324
3969	Кусур	580	518	216	610
955	Кутих	205	233	114	224
1507	Кутиша	1368	1358	1219	1919
4111	Кутлаб	306	350	371	1011
3433	Кутул	370	358	225	195
4025	Куфа			82	313
983	Кучраб	296	313	292	46
3171	Куштиль	422	421	389	964
3105	Кчун-Казмаляр			135	723
2135	Кюрек	83	67	52	93
2279	Кюряг	317	341	291	452
3775	Кяхулай	726	730	581	6960
3325	Лака	216	219	199	606
7205	Лаклакюрт				179
4073	Лакун	79	81	110	13
3585	Лахир	341	330	229	44
1075	Лахчайда			32	42
1523	Леваши	1188	1197	1614	10011
7126	Ленинаул				542
8084	Ленинаул				8338
3703	Ленинкент			122	15532
8129	Ленинкент				1100
2107	Лидже	252	261	314	245
2321	Лища	345	309	339	111
8004	Лологонитль				1457
7068	Лопуховка				12
8118	Лугувалу				35
3983	Луткун	691	635	608	2790
3985	Лучек	494	483	520	478
7002	Львовский №1				1262
7003	Люксембург				1679
2315	Ляхе	181	184	169	248
3163	Ляхля	220	210	312	614
1121	Маали	963	1000	948	2921
1127	Магар	318	340	217	296
3175	Магарамкент	369	312	503	6951
4147	Магитль	93	85	41	21
8050	Мадала				
2335	Маджалис	1481	1422	1021	6820
4169	Мазада	44	36	40	196
8174	Майданское				2643
8136	Мака-Казмаляр				152
7032	Макаровское				304
7081	Малая Арешевка				1667
7037	Малая Задоевка				30
2443	Маллакент	132	141	125	260
7034	Малое Казыревское				694
8039	Малый Урала				57
2243	Мамааул	233	237	220	615
1995	Мамедкала			78	11030
3809	Манас			92	5359
853	Манасаул	223	269	496	629
3791	Манаскент			237	4995
7066	Мангулаул				59
2079	Марага	1791	1812	1941	1794
8181	Матлас				150
8210	Махалотли				332
1	Махачкала			32000	570845
8108	Мацеевка				458
1215	Мачада	551	515	503	429
8043	Мачада				13
4283	Мачар	93	105	46	101
2159	Машаты	271	283	286	185
391	Маштада			152	267
1147	Мегеб	727	762	710	702
3083	Межгюль	701	698	792	1217
1537	Мекеги	3866	2624	2550	2931
433	Местерух	492	504	585	1009
4719	Метрада	188	222	254	550
1535	Меусиша	1454	1380	1408	1377
435	Мехельта	1873	10171	1919	3309
8020	Мехетури				33
437	Миарсо	278	282	276	1714
8104	Миатли				4022
1609	Миглакасимахи		375	529	535
4035	Миджах	460	442	250	152
2259	Мижигли	202	188	195	383
4149	Микдатль	51	58	34	13
4081	Микик	290	296	258	533
1463	Микрасанамахи	78	76	78	53
3997	Микрах	3651	3495	1554	1260
1437	Мирзита	209	207	162	372
7054	Мирное				150
3359	Миси	213	235	231	285
3995	Мискинджа	2833	2753	1826	3518
2081	Митаги	769	781	551	648
2083	Митаги-Казмаляр			186	1177
1207	Митлиуриб			438	687
4723	Митлуда			78	41
7062	Михеевское				695
4003	Мишлеш	732	681	585	1181
7207	Могилевское				1900
121	Могох	602	622	530	274
129	Могох	226	243	272	363
985	Могроб	110	109	90	16
1015	Мокода			90	100
4711	Мокок	298	318	122	489
7170	Моксоб				668
127	Моксох	309	309	241	220
1959	Моллакент	40	36	79	1020
8052	Морское				1187
133	Мочох	420	418	372	399
1149	Мощоб	139	155	175	24
2089	Мугарты	934	953	880	1616
1081	Мугдаб			58	97
3197	Мугерган			341	1539
1565	Муги	2649	2347	1950	3372
1583	Мугри	680	675	750	
1275	Мугурух	287	291	274	317
7012	Мужукай				541
8056	Музаим				1947
3569	Мукар	347	345	249	220
1465	Мукракари	2	211	181	134
1133	Мукутль	164	166	188	94
7038	Мулла-Али				65
439	Муни	911	748	586	3220
1153	Мурада	1370	835	194	1558
1619	Мургук	1150	1085	876	1653
1673	Мурлатинамахи	30	33	25	28
965	Мурух	59	58	69	82
1817	Мусклимахи	71	70	46	
4009	Муслах	535	532	392	612
1173	Мусрух	143	122	144	93
1705	Мусультемахи		202	221	483
8194	Мухарх				52
3971	Мухах	229	232	43	233
7171	Муцалаул				6759
1079	Мучула			9	
135	Мушули	300	294	331	571
2349	Мюрего	2760	2678	2351	4225
4011	Мюхрек	694	697	382	191
4113	Надар	85	74	29	176
1195	Наказух			190	136
141	Накитль	118	130	149	162
1217	Накитль			103	196
8031	Нанибика				494
7133	Нариман				1789
8033	Нарыш				451
1627	Наскент	1065	1012	956	2951
4225	Нахада	238	266	115	486
1629	Нахки	415	411	263	417
1663	Наци	443	167	151	150
4171	Начада	76	60	46	163
7048	Некрасовка				685
3853	Нечаевка		170	234	4783
395	Нижнее Инхело	434	436	494	2111
401	Нижнее Инхо	558	557	477	1343
745	Нижнее Казанище	4652	4926	4890	12865
1521	Нижнее Лабкомахи		416	325	365
1863	Нижнее Махаргимахи		214	316	330
1597	Нижнее Мулебки	2511	632	563	440
1923	Нижнее Чугли	583	559	702	1534
311	Нижние Гаквари	1179	1303	396	497
4733	Нижние Хваршини	289	333	312	372
