koryakov_bd_id,lang_1_K,eng_vil_name,rus_vil_name,rus_vil_name_mdg,census_1885,census_1895,census_1926,census_2010,Lat,Lon,lang_1_S,elevation
349,Godoberi,,Ниж. Годобери (часть),Ниж. Годобери (часть),,,172,,,,,
351,Godoberi,,Лудига (часть Годобери),Лудига (часть Годобери),,,52,,,,,
353,Godoberi,,Рахатлы,Рахатлы,,,67,,,,,
355,Godoberi,,Цаху,Цаху,,,2,,,,,
357,Godoberi,,Шахитль,Шахитль,,,4,,,,,
359,Avar,Danukh,Данух,Данух,274,220,390,810,4284282,466275,Chechen,169180
361,Godoberi,Zibirkhali,Зибирхали,Зибирхали,285,279,147,64,4266833,4607194,Godoberi,179106
363,Botlikh,,разв. Белеби,разв. Белеби,,,47,,,,,
365,Botlikh,,Гахибет,Гахибет,,,4,,,,,
367,Botlikh,,Зибиру,Зибиру,,,30,,,,,
369,Botlikh,,Рухуг,Рухуг,,,9,,,,,
371,Botlikh,,Хадникала,Хадникала,,,5,,,,,
373,Botlikh,,Хинхитель,Хинхитель,,,15,,,,,
375,Botlikh,,№ 1,№ 1,,,6,,,,,
377,Botlikh,,№ 2,№ 2,,,8,,,,,
379,Akhvakh,Izano,Изано,Изано,412,433,318,1211,4252735,4640389,Akhvakh,182376
381,Akhvakh,,Хунди,Хунди,,,46,,,,,
383,Avar,Ingerdakh,Ингердах,Ингердах,456,490,531,1065,4258926,46398373,Avar,188192
385,Avar,Ingishi,Ингиши,Ингиши,414,454,455,839,4277477,4654264,Avar,153304
387,Karata,Verkhnee Inkhelo,Верхнее Инхело,Верхнее Инхело,404,300,41,400,4262035,46329732,Karata,135607
389,Karata,,Зиндулла,Зиндулла,,,14,,,,,
391,Karata,Mashtada,Маштада,Маштада,,,152,267,4261362,46314659,Karata,122534
393,Karata,,Чабакуры,Чабакуры,,,259,,,,,
395,Karata,Nizhnee Inkhelo,Нижнее Инхело,Нижнее Инхело,434,436,494,2111,42645134,46259367,Karata,74860
397,Avar,Verkhnee Inkho,Верхнее Инхо,Верхнее Инхо,399,423,380,1030,4270659,4650415,Avar,63335
399,Avar,Chitl',Читль,Читль,246,219,230,440,42722594,46504009,Avar,69085
401,Avar,Nizhnee Inkho,Нижнее Инхо,Нижнее Инхо,558,557,477,1343,42704518,46507752,Avar,55864
403,Avar,Ichichali,Ичичали,Ичичали,489,484,482,156,42732617,46405263,Avar,166377
